Name_roman,Cosine_score
Georgios Papadimitriou,0.7979265460608087
Apostolos Papadopoulos,0.7941657518789275
Eleftherios Angelis,0.7888010308670491
Panagiotis Katsaros,0.7724027926654875
Nikolaos Vasileiadis,0.7625992359341865
Thrasyvoulos Konstantinos Tsiatsos,0.7617508664461068
Anastasios Gounaris ,0.7616058095459817
Athina Vakali,0.761412397706172
Anastasios Tefas ,0.7590158159610395
Christos Ouzounis,0.7563259253500004
Nikolaos Nikolaidis,0.7558623980458452
Ioannis Vlachavas,0.7551852794576323
Ioannis Pitas,0.754861216269528
Dimitrios Vrakas,0.7452023172504816
Konstantinos Kotropoulos,0.7447497729091883
Nikolaos Konofaos,0.7401340170443395
Ioannis Stamelos,0.7369890652261689
Amalia Miliou,0.7369831713250108
Grigorios Tsoumakas,0.7358849286093445
Nikolaos Tsitsas,0.7337044543854392
Nikolaos Laskaris,0.7303679871617464
Stavros Dimitriadis,0.7171364290130091
Nikolaos Pleros,0.6185052711572825
