Name_roman,Cosine_score
Michail Vrachatis,0.9067270434724851
Dimitrios Poulakis,0.9045040043445145
Theodoulos Garefalakis,0.9029220710615518
Ioannis Stamatiou,0.8993468162149656
Elisavet Konstantinou,0.8779455952570805
Christos Zaroliagkis,0.8689639073081907
Aristeidis Kontogeorgis,0.8589549609643966
Stefanos Gkritzalis,0.8558758617710996
Giorgos Tourlakis,0.8492304153955722
Vasileios Chrysikopoulos,0.8451579083695608
Georgios Rachonis,0.8414686411705303
Dimitrios Varsos,0.8382515769966867
Athanasios Papistas,0.833177082883308
Aristeidis Pagourtzis,0.8304193475821655
Dimitrios Serpanos ,0.8282778211282228
Christos Douligeris,0.8262692309616925
Emmanouil Magkos,0.8252150003828088
Panagiotis Rontogiannis,0.8208281315085725
Dimitrios Gkritzalis,0.8187285421011555
Marios Mavronikolas,0.8165532752841472
Panagiota Fatourou,0.8117169304439695
Leonidas Georgiadis,0.811332424230633
Nikolaos Diamantis,0.8113002489223079
Georgios Fikioris,0.8106497599131102
Ioannis Smaragdakis,0.8104296473605253
Christos Koukouvinos,0.8101983358251332
Kyriakos Sgarmpas,0.8092901801851218
Georgios     Kampourakis ,0.8079342792537036
Evangelos Markatos,0.807907498966897
Theodoros  Apostolopoulos,0.8069715821914529
Vasos Chatzilakos,0.80638639381301
Ioannis Mavridis,0.8058013836628879
Dimitrios Fotakis,0.8051879756093723
Vasilios Katos,0.8045748027578306
Nikolaos Papaspyrou,0.804342351167992
Vangelis Paschos,0.8040098558916524
Diomidis Spinellis,0.8009839345537517
Dimitrios Thilykos,0.800683344950769
Leonidas Palios,0.8000347193402187
Charidimos  Vergos,0.7983701960427523
Ioannis Antoniou,0.7983050985552894
Sotirios Nikoletseas,0.7973588828767473
Christos Politis,0.7967893073125141
Efstratios Gallopoulos,0.7966120656287003
Stavros Nikolopoulos,0.795935969819481
Konstantinos Markantonakis,0.7952270937838037
Nikolaos Karampetakis,0.7946277445240648
Anna Filippou,0.7946106180498135
Nikolaos Bourmpakis,0.7939186163020903
Pavlos Efraimidis,0.7918951555385798
Chrysi Kokologiannaki,0.791871239647661
Odysseas Koufopavlou ,0.7913461576322801
Ioannis Stratis,0.791303579070272
Evripidis Bampis,0.7912586393029988
Theodoros Tzouramanis,0.7885542775773035
Ioannis Emiris,0.7879190871538091
Vasileios Dimakopoulos ,0.7871177369477893
Konstantinos Masselos,0.7863407782561856
Themistoklis Panagiotopoulos,0.7855266688826441
Konstantinos Margaritis,0.784221406064297
Katia Sycara,0.7836161792686454
Ioannis Ioannidis,0.7831094699205821
Dimitrios Kalles,0.7827394203890069
Minos Garofalakis,0.7819747459346431
Antonios Symvonis,0.781510059515418
Christos Panagiotakopoulos,0.7811135015444428
Georgios Karampatis,0.7810042305397779
Nikolaos Mamoulis,0.7801144491213873
Michail Sfakianakis,0.7800247310419458
Dimitrios Achlioptas,0.7790300647991089
Antonios Bikakis,0.778857749450925
 Konstantinos Plataniotis,0.7787274527429507
Emmanouil Maragkoudakis,0.7784761980426286
Nicolas Vayatis,0.7781993241075855
Giannis Papakonstantinou,0.7777583864284363
Michail Devetsikiotis - Chatzinikolaou,0.7776314345275414
Giorgos Georgakopoulos,0.7765234940994653
Ioannis Nikolaidis,0.7764655404840656
Panagiotis Metaxas,0.7757070936721265
Dionysios Pnevmatikatos ,0.7756728806701347
Konstantinos Stathis,0.7746914012410493
Evangelos Milios,0.7746335274636178
Evangelia Pitoura,0.7745477689731282
Konstantinos Marios Angelopoulos,0.7742154091908228
Dimitrios Plexousakis,0.7730089672795399
Maria  Virvou,0.7712998183380626
Georgios Tsichrintzis,0.7708495380983615
Charalampos Mouratidis,0.7696377896405369
Georgios Paliouras,0.7694052886685255
Athanasios Tyropanis,0.7693250859583436
Angelos Bilas,0.7689071686976716
Panagiotis Demestichas,0.7687596957453977
Vasileios Verykios,0.7678732536363514
Andreas Veneris,0.7678434395988641
Petros Drineas,0.7672550879742664
Vasileios Megalooikonomou,0.7671041815775432
Athanasios Kechagias,0.7669079378339798
Grigorios Antoniou,0.7668553725231603
Antonis Kakas,0.7666933749223273
Ioannis Karagiannis,0.7666528041140215
Kon/nos Bermperidis,0.7660712686435098
Theodora Varvarigou,0.7659373392295692
Giorgos Pallis,0.765654031710552
Athanasios Skodras,0.7651785686543511
 Dimitrios Tzovaras ,0.7643765914393894
Georgios Karagiannidis ,0.764206381391207
Andreas Symeonidis,0.7641589767461503
Efstathios  Sykas,0.7640331579802055
Spyridon Lykothanasis,0.7639664939850443
Georgios  Moustakidis,0.763735862874457
Achilleas Kameas,0.7637230052676913
Emmanouil Giakoumakis,0.7636027773790652
Georgios Vouros,0.7634354434849095
Evrypidis Petrakis,0.7631510099162144
Themis Palpanas,0.7623712342686593
Miltiadis Petridis,0.7621490354216629
Ioannis Theodoridis,0.7620373130005825
Spyridon Sioutas,0.762029584220555
Konstantinos Stefanidis,0.7619423598901937
Georgios  Polyzos,0.7618127737809839
Georgios Angelos Papadopoulos,0.7618071802970723
Panagiotis Tsaparas,0.7617130934560619
Pavlos Peppas,0.7617097098292736
Konstantinos Tsichlas,0.7607907314568922
Georgios Tompras ,0.7606014315722133
Michail Vazirgiannis,0.7600910644818253
Emmanouil Koumparakis,0.759728229302522
Georgios Rouskas,0.7594245735497407
Panagiotis Stamatopoulos,0.7593329081281266
Ioannis Dimitriadis,0.758796194074477
Dimitrios  Pantos,0.7587866251719563
Emmanouil  Varvarigos,0.7584184470390014
Lydia Kavraki,0.7582132697733437
Dimitrios  Vergados,0.7581917741520393
Ioannis Andreadis ,0.7577592098667632
Nikolaos Sidiropoulos,0.7575747197333185
Pantelis Bagkos,0.755962369612851
Theodora Ioannidou,0.7552110589848172
Nektarios Kozyris,0.7550274080862819
Charalampos Skianis,0.7547932139750928
 Yannis Aloimonos,0.7545044544281453
Alkiviadis Chatzopoulos ,0.7543753695986193
Nikolas Tsapatsoulis,0.7543255784208908
Petros Maragkos,0.754122249966912
Stylianos Xynogalos,0.7537146448764268
Iakovos  Venieris,0.7535611111006049
Ioannis Anagnostopoulos,0.7535058675592305
Periklis Mitkas,0.7534379380950293
Elpida Keravnou - Papailiou,0.7533866909343403
Polyxeni Pange - Lekka,0.7528471251134876
Michail Lagoudakis,0.7527806603158177
Vasileios Vassalos,0.7527686462006791
Ergina Kavallieratou,0.7522717405836521
Christos Schizas,0.7521505304083442
Theocharis Theocharis ,0.75193927974156
Michail  Logothetis,0.7517958254019456
Dimitrios Gkizopoulos,0.7516002271164883
Vassilis Kostakos,0.7515450451866343
Dimitrios Tsoumakos,0.751526813433222
Kyriakos Mouratidis,0.7513924341057193
Evgenia Foustoukou,0.7512309560926259
Georgios Karypis,0.7508781914807698
Emmanouil Roumeliotis,0.7508714239065124
Andreas Andreou,0.7507579616594419
Vasileios Tsaousidis,0.7503066747962377
Konstantinos Kloukinas,0.7501978286885335
Nikolaos Avouris,0.7499288281256726
Panagiotis Konstantopoulos,0.7497892267401491
Ioannis Kakadiaris,0.74924387744439
Antonis Charalampopoulos,0.7488385379644951
Konstantinos Chrysafinos,0.7486214839840486
Aristeidis Lykas,0.7482649221093967
 Thrasyvoulos Pappas,0.747936506757563
Pavlos Moraitis,0.7477928806045018
Vasilis Christofidis,0.7474425882121967
Panagiotis Tsanakas,0.7472624875719114
Alexandros  Stavdas,0.7472587779733937
Konstantinos Blekas,0.7470474847088866
Georgios Stamou,0.7468730440712044
Leontios Chatzileontiadis,0.7467792008276695
Efstathios  Stamatatos ,0.7466901068275409
Dion.-Dimitrios Koutsouris,0.7463451090065059
Theodoros Evgeniou,0.7459021543727519
Vasileios Syris,0.7456109268636691
Dimitrios  Gounopoulos,0.7452213665355134
Neoklis Polyzotis,0.7449095233908535
Christoforos Kozyrakis,0.7446017559920659
Apostolos Dollas,0.744573248943303
George Karakostas,0.7444534390431956
 Theodoros Laopoulos,0.7442377302137831
Tasoula Georgaki,0.7441867206530537
Ioannis Manousakis,0.7439996763563593
Eirini Ntoutsi,0.7435875422644502
Konstantinos Pattichis,0.7433704015438359
Dimitrios  Syvridis,0.7431626395387401
Georgios Tzanetakis,0.7431412712657279
Konstantinos Raftopoulos,0.7422086098575681
Evangelos Dermatas,0.7422000427485268
Iraklis Varlamis,0.7421087026864697
Timoleon Sellis,0.74191920346299
Ioannis  Karafyllidis ,0.7417650163735133
Panagiotis Kalnis,0.7413540935532593
George Bebis,0.7411780810263583
Anastasios Ntelopoulos,0.7411213238521044
Ioannis  Stavrakakis,0.7409916959596115
Ioannis Papananos,0.7405545663713333
Andreas-Georgios Stafylopatis,0.740173027025331
Gerasimos Barmpatis,0.7397753381268997
Dimitrios Kougioumtzis,0.7395442272372399
Ioannis Tsamardinos,0.7387390881404592
Angelos Rouskas,0.7372985282886269
Michail Vasilakopoulos,0.7368290401512438
Ioannis Pratikakis,0.7365923596309105
Nikolaos Paragyios,0.7364625338495673
Miltiadis  Anagnostou,0.7363980666928558
Eleni Stroulia,0.7362280054157482
Dimitrios Sountris,0.7357154269680944
Tania Stathaki,0.7347165185284071
Theodoros Dalamagkas,0.7341056594423221
Maria - Aikaterini Satratzemi,0.7341047798100013
Damianos Gavalas,0.7335002299886096
Kostas Xydeas,0.732920116092203
Dimitrios Nikolopoulos,0.732843758771553
Ioannis Tollis,0.732781228560389
Antonios Gasteratos,0.7326606748123683
Kiamal Pekmestzi,0.7317194981249957
Nikolaos Pelekis,0.7314444092410368
Elpida Tzafesta,0.7313622176802395
Georgios Evangelidis,0.7309376113751662
Ioannis Rekanos,0.7308907467220882
Alexios Birmpas,0.7303808605274659
Christos Antonopoulos,0.730014094858265
Ioannis Garofalakis,0.7298741338314902
 John Tsotsos,0.7292915611963995
Panagiotis  Kottis,0.7291244538531074
Konstantinos Tarampanis,0.7289006524623007
Konstantina Nikita,0.7288104872740607
Georgios Ellinas,0.7287356780681172
Christos Bouras ,0.7286658789724013
Ioannis Chatzilygeroudis,0.7283377966033875
Georgios Spanoudakis,0.7282862119148912
Vasileios Anastasopoulos,0.7272841777422845
Maria Chalkidi,0.7269804365964905
Emmanouil Lourakis,0.7264380520591867
Nikos Pavlidis,0.7264258299233434
Georgios Pavlou,0.7264059429662582
Andreas Pitsillidis,0.7263925841079444
Panagiotis Tsakalidis,0.7261430657686294
Andreas Lanitis,0.7260513138471621
Theodoros Chorikis,0.7258672136803813
Kyriakos Vlachos,0.7257848481341256
Spyridon-Gerasimos  Lalis,0.72557225624121
Georgios Syrakoulis,0.7251073875169024
Nikolaos Papamarkos,0.7249131080769263
Lampros Stergioulas,0.7244696506191329
Michail Zervakis,0.724034171816902
