,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
agglomerative_4_PCA_25,0.7228,0.794,0.596,1.1667,18.5
agglomerative_5_PCA_2,0.7205,0.7877,0.5833,1.1667,18.8333
kmeans_3_PCA_3,0.6962,0.7685,0.5493,1.1667,19.0
agglomerative_4_PCA_2,0.688,0.7728,0.5545,1.1667,19.0
agglomerative_7_PCA_2,0.6835,0.7732,0.5525,1.1667,19.6667
agglomerative_3_PCA_25,0.6827,0.7602,0.5633,1.1667,18.5
kmeans_3_PCA_2,0.6752,0.7545,0.525,1.1667,19.3333
kmeans_4_PCA_2,0.675,0.7823,0.5765,1.3333,18.8333
agglomerative_3_PCA_5,0.6725,0.7523,0.5553,1.1667,18.5
kmeans_5_PCA_25,0.6697,0.7465,0.5267,1.1667,19.3333
agglomerative_2_PCA_5,0.6688,0.7653,0.5608,1.3333,18.5
kmeans_5_PCA_3,0.6672,0.7523,0.5385,1.1667,19.0
kmeans_4_PCA_25,0.6652,0.7718,0.5603,1.3333,19.0
agglomerative_2_PCA_25,0.6642,0.7713,0.5667,1.5,18.5
kmeans_7_PCA_25,0.6627,0.7495,0.5197,1.3333,19.5
agglomerative_4_isomap_3,0.662,0.7522,0.5257,1.1667,19.3333
kmeans_7_PCA_3,0.6618,0.7638,0.5595,1.3333,19.0
agglomerative_4_PCA_10,0.6617,0.7583,0.5463,1.1667,18.8333
agglomerative_3_PCA_3,0.6593,0.7453,0.5337,1.1667,19.0
kmeans_3_PCA_10,0.6587,0.7455,0.5383,1.1667,18.6667
agglomerative_2_PCA_10,0.658,0.7627,0.5557,1.3333,18.5
agglomerative_3_PCA_7,0.657,0.7398,0.5375,1.1667,18.5
agglomerative_3_PCA_2,0.6568,0.758,0.5275,1.1667,19.3333
agglomerative_7_PCA_25,0.6567,0.773,0.5705,1.3333,18.8333
agglomerative_7_PCA_5,0.6563,0.764,0.5613,1.3333,18.6667
kmeans_2_PCA_25,0.6552,0.76,0.55,1.3333,18.6667
kmeans_3_PCA_7,0.6552,0.739,0.5315,1.1667,18.8333
kmeans_7_PCA_5,0.654,0.7568,0.5473,1.3333,19.1667
kmeans_2_PCA_7,0.6528,0.7595,0.5492,1.3333,18.6667
agglomerative_5_PCA_10,0.6517,0.7595,0.545,1.3333,19.3333
kmeans_2_PCA_5,0.6517,0.7603,0.5513,1.3333,18.6667
agglomerative_2_PCA_3,0.6513,0.7582,0.5488,1.3333,18.6667
kmeans_7_PCA_2,0.6488,0.7655,0.5385,1.3333,19.5
agglomerative_4_PCA_5,0.6485,0.771,0.5648,1.3333,18.8333
agglomerative_7_PCA_7,0.6473,0.7562,0.5332,1.3333,19.3333
kmeans_7_PCA_10,0.6473,0.7595,0.5472,1.3333,19.3333
kmeans_3_PCA_25,0.6472,0.7423,0.5357,1.1667,18.6667
kmeans_2_PCA_3,0.647,0.7563,0.546,1.3333,18.6667
