,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
kmeans_7_PCA_2,0.397,0.8762,0.1373,1.1667,226.8333
max_articles,0.4157,0.8733,0.1428,1.0,219.3333
agglomerative_2_PCA_5,0.3648,0.8727,0.1422,1.3333,234.6667
kmeans_7_PCA_3,0.3885,0.8725,0.1337,1.1667,233.3333
agglomerative_5_PCA_3,0.3603,0.8725,0.1312,1.5,227.3333
agglomerative_7_PCA_2,0.4108,0.8723,0.1388,1.1667,235.0
agglomerative_2_PCA_10,0.3475,0.8723,0.1402,1.5,232.5
agglomerative_7_PCA_3,0.371,0.872,0.1285,1.3333,244.1667
kmeans_5_PCA_2,0.4088,0.8707,0.1355,1.0,235.6667
mean,0.4032,0.8702,0.1325,1.1667,245.3333
agglomerative_2_PCA_25,0.3602,0.8693,0.1443,1.6667,232.3333
kmeans_7_isomap_7,0.4328,0.8687,0.1293,1.0,236.0
agglomerative_2_PCA_3,0.3552,0.8685,0.1388,1.5,242.0
kmeans_7_isomap_10,0.3987,0.868,0.1375,1.1667,223.6667
agglomerative_4_PCA_2,0.3878,0.8677,0.1347,1.3333,239.8333
kmeans_2_PCA_5,0.3497,0.8665,0.1377,1.3333,233.0
agglomerative_2_isomap_2,0.3803,0.866,0.1387,1.0,245.1667
kmeans_4_PCA_7,0.3817,0.866,0.1313,1.8333,237.8333
kmeans_7_isomap_2,0.3852,0.8658,0.142,1.1667,211.1667
kmeans_2_PCA_7,0.3525,0.8657,0.1355,1.3333,237.3333
kmeans_4_PCA_5,0.3997,0.8653,0.135,1.0,240.0
kmeans_2_PCA_3,0.354,0.865,0.135,1.3333,237.1667
agglomerative_7_isomap_2,0.396,0.865,0.1388,1.0,212.3333
agglomerative_2_PCA_7,0.3605,0.865,0.138,1.6667,244.8333
agglomerative_7_PCA_5,0.3772,0.8648,0.1375,1.5,227.5
kmeans_2_PCA_10,0.355,0.8647,0.1357,1.3333,236.3333
kmeans_2_PCA_2,0.3577,0.8645,0.136,1.1667,235.3333
agglomerative_7_PCA_25,0.4203,0.8645,0.1318,1.0,223.5
kmeans_7_isomap_5,0.398,0.8643,0.1335,1.0,237.1667
kmeans_4_PCA_2,0.3872,0.8643,0.14,1.0,226.8333
kmeans_7_PCA_7,0.3782,0.8642,0.1313,1.8333,219.5
agglomerative_2_PCA_2,0.3532,0.8642,0.1338,1.3333,240.0
kmeans_4_PCA_3,0.3817,0.864,0.1345,1.1667,237.1667
agglomerative_2_isomap_7,0.3628,0.864,0.1363,1.1667,236.1667
agglomerative_2_isomap_10,0.362,0.8635,0.1417,1.0,235.3333
agglomerative_3_PCA_7,0.3707,0.8635,0.1362,1.0,249.1667
kmeans_2_PCA_25,0.3553,0.8635,0.1402,1.1667,226.1667
agglomerative_7_isomap_7,0.3932,0.8632,0.1262,1.5,232.5
